ppn,isbn_normalise,titre,annee,nomAuteur,lieuPublication,editeur,sujet,raisons,Source,Ensemble,Acquisition,Occupations,date_naissance,date_deces
027149307,9783721500189,Tanis : vergessene Schätze der Pharaonen,1987,"Stierlin, Henri",Fribourg,Office du Livre,,,NZ,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783721500226,"Städte in der Wüste : Petra, Palmyra und Hatra : Handelszentren am Karawanenweg",1987,"Stierlin, Henri",Fribourg,Office du livre,,,NZ,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783761104828,Die letzten Tempel Ägyptens,1978,"Stierlin, Henri","Zürich, Freiburg i. Br.",Atlantis-Verlag,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783761104989,Isfahan,1976,"Stierlin, Henri","Zürich, Freiburg i. Br.",Atlantis,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783761105399,Die Visionen der Apokalypse,1978,"Stierlin, Henri","Zürich, Freiburg i. Br.",Atlantis,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783761105641,Architektur des Islam vom Atlantik zum Ganges,1979,"Stierlin, Henri","Zürich, Freiburg im Breisgau",Atlantis,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783763017454,Kleinasiatisches Griechenland,1986,"Stierlin, Henri",Stuttgart - Zürich,Belser,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783763017461,"Städte in der Wüste : Petra, Palmyra und Hatra : handelszentren am Karawanenweg",1987,"Stierlin, Henri",Stuttgart - Zürich,Belser Verlag,,,NZ,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783763017478,Byzantinischer Orient,1988,"Stierlin, Henri",Zürich - Stuttgart,Belser,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783763017799,Die Kunst der Maya,1981,"Stierlin, Henri",Stuttgart - Zürich,Belser,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783763017805,Die Kunst der Azteken und ihrer Vorläufer,1982,"Stierlin, Henri",Stuttgart - Zürich,Belser,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783763017812,Die Kunst der Inka und ihrer Vorläufer,1983,"Stierlin, Henri",Zürich - Stuttgart,Belser,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783777424101,Angkor,1970,"Stierlin, Henri",München,Hirmer,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783777429007,Die Architektur der Welt : Plan und Bauwerk,1977,"Stierlin, Henri",München - Fribourg,Hirmer Verlag - Office du Livre,,,SUDOC,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783777444604,Tanis,1987,"Stierlin, Henri",München,Hirmer,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783811201323,Die Welt der Pharaonen,1978,"Stierlin, Henri",Bayreuth,Gondrom-Verlag,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783811202603,Die Welt der Römer,1981,"Stierlin, Henri",Bayreuth,Gondrom,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783811203013,Die Welt Spaniens,1982,"Stierlin, Henri",Bayreuth,Gondrom,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822812204,Ägypten : Von der Prähistorischen Zeit bis zu den Römern,2001,"Wildung, Dietrich",Köln,,,,SUDOC,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822812211,Egypt : from prehistory to the Romans,2001,"Wildung, Dietrich",Köln - New York,Taschen,,,SUDOC,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822812228,Égypte : de la Préhistoire aux Romains,2001,"Wildung, Dietrich",Köln - Lisboa - Paris [etc.],Taschen,,,SUDOC,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822812266,Grèce : de Mycènes au Parthénon,2001,Henri Stierlin,Köln. - Lisboa. - Paris [etc.],Taschen,Architecture grecque,deces_auteur,BNF,Genevensia,,,1928,2022
027149307,9783822812389,"Le monde roman : villes, cathédrales et monastères",2001,"Barral i Altet, Xavier",Köln - Lisboa - Paris,Taschen,,,SUDOC,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822812426,Maya : palais et pyramides de la forêt vierge,2001,Henri Stierlin,Köln. - Lisboa. - Paris [etc.],Taschen,Amérique centrale | Architecture maya | Décoration architecturale,deces_auteur,BNF,Genevensia,,,1928,2022
027149307,9783822817773,Empire romain : des Étrusques au déclin del'Empire,2002,Henri Stierlin,Köln. - London. - Paris [etc.],Taschen,Architecture romaine | Rome -- 30 av. J.-C.-476 (Empire),deces_auteur,BNF,Genevensia,,,1928,2022
027149307,9783822817858,Islam : des origines au XIIIe siècle de Bagdad à Cordoue,2002,Henri Stierlin,Köln. - London. - Paris [etc.],Taschen,Architecture islamique,deces_auteur,BNF,Genevensia,,,1928,2022
027149307,9783822817933,Haut Moyen-âge : de l'Antiquité tardive à l'an mil,2002,"Barral i Altet, Xavier",Köln - London - Paris [etc.],Taschen,,,SUDOC,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
